4300.0	0.0	0.0	0.0	1.0	
4350.0	0.0	0.0	0.0	1.0	
4400.0	0.0	0.0	0.0	1.0	
4450.0	0.0	0.0	0.0	1.0	
4500.0	0.0	0.0	0.0	1.0	
4550.0	0.0	0.0	0.0	0.0	
4600.0	0.0	0.0	0.0	0.0	
4650.0	0.0	0.0	0.0	0.0	
4700.0	0.0	0.0	0.0	0.0	
4750.0	0.0	0.0	0.0	0.0	
4800.0	0.0	0.0	0.0	0.0	
4850.0	0.0	0.0	0.0	0.0	
4900.0	0.0	0.0	0.0	0.0	
4950.0	0.0	0.0	0.0	0.0	
5000.0	0.0	0.0	0.0	0.0	
5050.0	0.0	0.0	0.0	0.0	
5100.0	0.0	0.0	0.0	0.0	
5150.0	0.0	0.0	0.0	0.0	
5200.0	0.0	0.0	0.0	0.0	
5250.0	0.0	0.0	0.0	0.0	
5300.0	0.0	0.0	0.0	0.0	
5350.0	0.0	0.0	0.0	0.0	
5400.0	0.0	0.0	0.0	0.0	
5450.0	0.0	0.0	0.0	0.0	
5500.0	0.0	0.0	0.0	0.0	
5550.0	0.0	0.0	0.0	0.0	
5600.0	0.0	0.0	0.0	0.0	
5650.0	0.0	0.0	0.0	0.0	
5700.0	0.0	0.0	0.0	0.0	
5750.0	0.0	0.0	0.0	0.0	
5800.0	0.0	0.0	0.0	0.0	
5850.0	0.0	0.0	0.0	0.0	
5900.0	0.0	0.0	0.0	0.0	
5950.0	0.0	0.0	0.0	0.0	
6000.0	0.0	0.0	0.0	0.0	
6050.0	0.0	0.0	0.0	0.0	
6100.0	0.0	0.0	0.0	0.0	
6150.0	0.0	0.0	0.0	0.0	
6200.0	0.0	0.0	0.0	0.0	
6250.0	0.0	0.0	0.0	0.0	
6300.0	0.0	0.0	0.0	0.0	
6350.0	0.0	0.0	0.0	0.0	
6400.0	0.0	0.0	0.0	0.0	
6450.0	0.0	0.0	0.0	0.0	
6500.0	0.0	0.0	0.0	0.0	
6550.0	0.0	0.0	0.0	0.0	
6600.0	0.0	0.0	0.0	0.0	
6650.0	0.0	0.0	0.0	0.0	
6700.0	0.0	0.0	0.0	0.0	
6750.0	0.0	0.0	0.0	0.0	
6800.0	0.0	0.0	0.0	0.0	
6850.0	0.0	0.0	0.0	0.0	
6900.0	0.0	0.0	0.0	0.0	
6950.0	0.0	0.0	0.0	0.0	
7000.0	0.0	0.0	0.0	0.0	
7050.0	0.0	0.0	0.0	0.0	
7100.0	0.0	0.0	0.0	0.0	
7150.0	0.0	0.0	0.0	0.0	
7200.0	0.0	0.0	0.0	0.0	
7250.0	0.0	0.0	0.0	0.0	
7300.0	0.0	0.0	0.0	0.0	
7350.0	0.0	0.0	0.0	0.0	
7400.0	0.0	0.0	0.0	0.0	
7450.0	0.0	0.0	0.0	0.0	
7500.0	0.0	0.0	0.0	0.0	
7550.0	0.0	0.0	0.0	0.0	
7600.0	0.0	0.0	0.0	0.0	
7650.0	0.0	0.0	0.0	0.0	
7700.0	0.0	0.0	0.0	0.0	
7750.0	0.0	0.0	0.0	0.0	
7800.0	0.0	0.0	0.0	0.0	
7850.0	0.0	0.0	0.0	0.0	
7900.0	0.0	0.0	0.0	0.0	
7950.0	0.0	0.0	0.0	0.0	
8000.0	0.0	0.0	0.0	0.0	
8050.0	0.0	0.0	0.0	0.0	
8100.0	0.0	0.0	0.0	0.0	
8150.0	0.0	0.0	0.0	0.0	
8200.0	0.0	0.0	0.0	0.0	
8250.0	0.0	0.0	0.0	0.0	
8300.0	0.0	0.0	0.0	0.0	
8350.0	0.0	0.0	0.0	0.0	
8400.0	0.0	0.0	0.0	0.0	
8450.0	0.0	0.0	0.0	0.0	
8500.0	0.0	0.0	0.0	0.0	
